,Events,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,Category
4739,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'inform BAG administrator',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create publication document',b'registration date publication',b'phase application received',b'start WABOprocedure',b'send confirmation receipt',b'enter senddate acknowledgement',b'no permit needed or only notification needed',b'procedure change',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'create subcases completeness',b'phase decision ready',b'set decision status',b'treat subcases content',b'phase advice known',b'generating decision environmental permit',b'completed subcases content',b'creating environmental permit decision',b'phase application receptive',b'register objection and appeal periods',b'create monitoring case oversight',b'creating cover letter decision',b'start decision phase decision permitting sent',b'phase decision taken',b'enter senddate decision',b'enter senddate decision environmental permit',b'record date of decision environmental permit',b'set decision phase decision permitting decided',b'phase decision sent',b'transcript decision environmental permit to stakeholders',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
4741,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'inform BAG administrator',b'regular procedure without MER',b'MER required',b'activities regular procedure',b'phased application',b'send confirmation receipt',b'phase application received',b'start WABOprocedure',b'read field phased application',b'enter senddate acknowledgement',b'enter senddate procedure confirmation',b'no permit needed or only notification needed',b'create procedure confirmation',b'decision date prior to decision',b'publish',b'create subcases completeness',b'procedure change',b'request complete',b'create publication document',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'phase application receptive',b'phase advice known',b'set decision status',b'creating environmental permit decision',b'send procedure confirmation',b'start WABOprocedure',b'registration date publication',b'register objection and appeal periods',b'create monitoring case oversight',b'creating cover letter decision',b'submit decision',b'enter senddate decision',b'transcript decision environmental permit to stakeholders',b'generating decision environmental permit',b'set decision phase decision permitting decided',b'phase decision taken',b'start decision phase decision permitting sent',b'phase decision sent',b'enter senddate decision environmental permit',b'phase decision ready',b'record date of decision environmental permit',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
4743,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'phase application received',b'send confirmation receipt',b'start WABOprocedure',b'enter senddate acknowledgement',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
4747,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'no permit needed or only notification needed',b'forward to the competent authority',b'inform BAG administrator',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create publication document',b'registration date publication',b'phase application received',b'send confirmation receipt',b'investigate BAG objects',b'start WABOprocedure',b'enter senddate acknowledgement',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
4749,b'register submission date request',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'OLO messaging active',b'send confirmation receipt',b'no permit needed or only notification needed',b'forward to the competent authority',b'inform BAG administrator',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'request complete',b'create publication document',b'registration date publication',b'start WABOprocedure',b'generating decision environmental permit',b'phase application receptive',b'creating environmental permit decision',b'completed subcases content',b'phase decision ready',b'treat subcases content',b'phase application received',b'set decision status',b'phase advice known',b'send confirmation receipt',b'investigate BAG objects',b'enter senddate acknowledgement',b'register objection and appeal periods',b'create monitoring case oversight',b'creating cover letter decision',b'enter senddate decision environmental permit',b'enter senddate decision',b'enter senddate decision environmental permit',b'set decision phase decision permitting decided',b'phase decision sent',b'transcript decision environmental permit to stakeholders',b'start decision phase decision permitting sent',b'record date of decision environmental permit',b'phase decision taken',b'continue or abort mutation BAG objects',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
4755,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'inform BAG administrator',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'phase application received',b'start WABOprocedure',b'send confirmation receipt',b'enter senddate acknowledgement',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
4758,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'inform BAG administrator',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create publication document',b'phase application received',b'start WABOprocedure',b'send confirmation receipt',b'investigate BAG objects',b'registration date publication',b'enter senddate acknowledgement',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
4760,b'register submission date request',b'enter senddate procedure confirmation',b'enter senddate retrieve missing data',b'enter senddate procedure confirmation',b'enter senddate acknowledgement',b'enter date decision permanent suspension',b'registrer date of publishing received request',b'phase application received',b'reception through OLO',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'send procedure confirmation',b'registrer date of publishing received request',b'treat subcases completeness',b'WAW permit aspect',b'applicant is stakeholder',b'terminate on request',b'extend procedure term',b'subcases completeness completed',b'activities regular procedure',b'regular procedure applies',b'request complete',b'term for supplying missing data',b'retrieve missing data',b'receive additional information',b'keep permanently suspended',b'creating decision permanently suspended',b'decision permanently suspended',b'enter objection term permanent suspension',b'copy decision permanent suspension to stakeholders',b'enter senddate decision permanent suspension',b'objection to permanent suspension received',b'decision permanent suspension irrevocable',b'stop procedure after permanent suspension',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
4763,b'register submission date request',b'phase application received',b'reception through OLO',b'enter senddate procedure confirmation',b'enter senddate retrieve missing data',b'enter senddate procedure confirmation',b'registrer date of publishing received request',b'forward to the competent authority',b'regular procedure without MER',b'send procedure confirmation',b'registrer date of publishing received request',b'treat subcases completeness',b'WAW permit aspect',b'applicant is stakeholder',b'terminate on request',b'extend procedure term',b'subcases completeness completed',b'activities regular procedure',b'regular procedure applies',b'request complete',b'term for supplying missing data',b'enter receipt of additional data',b'enter senddate procedure confirmation',b'retrieve missing data',b'receive additional information',b'MER present in supplement',b'WAW permit aspect',b'treat subcases completeness',b'subcases completeness completed',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'assessment of content completed',b'phase advice known',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'generating decision environmental permit',b'enter senddate decision environmental permit',b'register date environmental permit decision',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'enter date publication decision environmental permit',b'objection lodged against decision',b'set phase: phase permitting irrevocable',b'close case',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
4765,b'register submission date request',b'phase application received',b'reception through OLO',b'enter senddate retrieve missing data',b'enter senddate procedure confirmation',b'enter senddate procedure confirmation',b'forward to the competent authority',b'regular procedure without MER',b'send procedure confirmation',b'extend procedure term',b'terminate on request',b'applicant is stakeholder',b'WAW permit aspect',b'treat subcases completeness',b'subcases completeness completed',b'activities regular procedure',b'regular procedure applies',b'request complete',b'term for supplying missing data',b'retrieve missing data',b'enter receipt of additional data',b'registrer date of publishing received request',b'enter senddate procedure confirmation',b'registrer date of publishing received request',b'receive additional information',b'MER present in supplement',b'WAW permit aspect',b'treat subcases completeness',b'subcases completeness completed',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'assessment of content completed',b'phase advice known',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'generating decision environmental permit',b'enter senddate decision environmental permit',b'register date environmental permit decision',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'enter date publication decision environmental permit',b'objection lodged against decision',b'set phase: phase permitting irrevocable',b'close case',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
4769,b'register submission date request',b'enter senddate acknowledgement',b'phase application received',b'reception through OLO',b'send confirmation receipt',b'forward to the competent authority',b'enter date termination request received',b'enter senddate procedure confirmation',b'register date decision terminate on request',b'enter senddate confirmation request',b'regular procedure without MER',b'send procedure confirmation',b'extend procedure term',b'registrer date of publishing received request',b'treat subcases completeness',b'WAW permit aspect',b'applicant is stakeholder',b'terminate on request',b'create decision terminate on request',b'decision terminate on request',b'stop process after terminate on request',b'phase procedure aborted',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
4770,b'register submission date request',b'enter senddate acknowledgement',b'phase application received',b'reception through OLO',b'send confirmation receipt',b'enter senddate procedure confirmation',b'enter senddate procedure confirmation',b'registrer date of publishing received request',b'forward to the competent authority',b'regular procedure without MER',b'MER present',b'activities regular procedure',b'phased application',b'send procedure confirmation',b'extend procedure term',b'terminate on request',b'applicant is stakeholder',b'WAW permit aspect',b'treat subcases completeness',b'subcases completeness completed',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'registrer date of publishing received request',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'assessment of content completed',b'phase advice known',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'generating decision environmental permit',b'register date environmental permit decision',b'enter senddate decision environmental permit',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'enter date publication decision environmental permit',b'objection lodged against decision',b'close case',b'set phase: phase permitting irrevocable',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
4775,b'register submission date request',b'enter senddate acknowledgement',b'phase application received',b'reception through OLO',b'send confirmation receipt',b'registrer date of publishing received request',b'forward to the competent authority',b'regular procedure without MER',b'send procedure confirmation',b'extend procedure term',b'registrer date of publishing received request',b'treat subcases completeness',b'subcases completeness completed',b'WAW permit aspect',b'applicant is stakeholder',b'terminate on request',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'phase advice known',b'assessment of content completed',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'generating decision environmental permit',b'register objection and appeal periods',b'register date environmental permit decision',b'enter senddate decision environmental permit',b'enter senddate procedure confirmation',b'enter senddate procedure confirmation',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'enter date publication decision environmental permit',b'objection lodged against decision',b'set phase: phase permitting irrevocable',b'close case',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
4780,b'register submission date request',b'enter senddate acknowledgement',b'phase application received',b'reception through OLO',b'send confirmation receipt',b'enter senddate procedure confirmation',b'enter senddate procedure confirmation',b'registrer date of publishing received request',b'enter senddate retrieve missing data',b'forward to the competent authority',b'regular procedure without MER',b'MER present',b'activities regular procedure',b'phased application',b'send procedure confirmation',b'extend procedure term',b'terminate on request',b'applicant is stakeholder',b'WAW permit aspect',b'registrer date of publishing received request',b'treat subcases completeness',b'subcases completeness completed',b'activities regular procedure',b'regular procedure applies',b'request complete',b'term for supplying missing data',b'retrieve missing data',b'enter receipt of additional data',b'enter senddate procedure confirmation',b'receive additional information',b'WAW permit aspect',b'treat subcases completeness',b'subcases completeness completed',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'phase advice known',b'assessment of content completed',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'generating decision environmental permit',b'enter senddate decision environmental permit',b'register date environmental permit decision',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'enter date publication decision environmental permit',b'objection lodged against decision',b'set phase: phase permitting irrevocable',b'close case',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
4783,b'register submission date request',b'enter senddate acknowledgement',b'phase application received',b'reception through OLO',b'send confirmation receipt',b'registrer date of publishing received request',b'enter senddate procedure confirmation',b'enter senddate procedure confirmation',b'forward to the competent authority',b'regular procedure without MER',b'send procedure confirmation',b'extend procedure term',b'registrer date of publishing received request',b'treat subcases completeness',b'WAW permit aspect',b'applicant is stakeholder',b'terminate on request',b'subcases completeness completed',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'assessment of content completed',b'phase advice known',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'register date environmental permit decision',b'enter senddate decision environmental permit',b'generating decision environmental permit',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'enter date publication decision environmental permit',b'objection lodged against decision',b'close case',b'set phase: phase permitting irrevocable',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
4785,b'register submission date request',b'enter senddate procedure confirmation',b'enter senddate retrieve missing data',b'enter senddate procedure confirmation',b'registrer date of publishing received request',b'enter receipt of additional data',b'register date environmental permit decision',b'enter senddate decision environmental permit',b'enter senddate procedure confirmation',b'phase application received',b'reception through OLO',b'forward to the competent authority',b'regular procedure without MER',b'send procedure confirmation',b'registrer date of publishing received request',b'treat subcases completeness',b'WAW permit aspect',b'applicant is stakeholder',b'terminate on request',b'extend procedure term',b'subcases completeness completed',b'activities regular procedure',b'regular procedure applies',b'request complete',b'term for supplying missing data',b'retrieve missing data',b'receive additional information',b'MER present in supplement',b'WAW permit aspect',b'treat subcases completeness',b'subcases completeness completed',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'phase advice known',b'assessment of content completed',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'generating decision environmental permit',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'enter date publication decision environmental permit',b'objection lodged against decision',b'set phase: phase permitting irrevocable',b'close case',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
4786,b'register submission date request',b'enter senddate acknowledgement',b'phase application received',b'reception through OLO',b'send confirmation receipt',b'registrer date of publishing received request',b'forward to the competent authority',b'regular procedure without MER',b'send procedure confirmation',b'extend procedure term',b'enter senddate procedure confirmation',b'enter senddate procedure confirmation',b'registrer date of publishing received request',b'treat subcases completeness',b'subcases completeness completed',b'WAW permit aspect',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'WAW permit aspect',b'applicant is stakeholder',b'terminate on request',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'phase advice known',b'assessment of content completed',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'enter senddate decision environmental permit',b'register date environmental permit decision',b'generating decision environmental permit',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'enter date publication decision environmental permit',b'objection lodged against decision',b'close case',b'set phase: phase permitting irrevocable',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',5
